key,time,all_swamps___alg_sample,all_swamps___total_rabbits,all_swamps___total_rabbits_per_wolves,all_swamps___total_wolves,blue_swamp___rabbits,blue_swamp___rabbits_per_wolves,blue_swamp___wolves,green_swamp___rabbits,green_swamp___rabbits_per_wolves,green_swamp___wolves,ratio
0-1,65,15,427.463366229,31.3764032867,13.6237210595,427.2949791998,37.689913837,11.3371174327,0.1683870507,0.0736406821,2.2866036268,31.3764032867
0-1,66,15,432.7663426407,30.953277996,13.9812766421,432.4845139192,35.962213994,12.0260814307,0.281828743,0.1441435318,1.9551952114,30.953277996
0-1,67,15,422.1832136904,29.2957527558,14.4110723902,421.7038411743,33.1027792998,12.7392276448,0.4793725377,0.2867326879,1.6718447455,29.2957527558
0-1,68,15,397.5222991309,26.8559773819,14.8020045399,396.6955972118,29.6652314086,13.372408654,0.8267019409,0.5782766648,1.4295958859,26.8559773819
0-1,69,15,363.9482190251,24.1829136819,15.0498084645,362.505610308,26.2166543763,13.8273024889,1.4426087391,1.1800422803,1.2225059756,24.1829136819
0-1,70,15,327.9716482636,21.738550399,15.0870983687,325.4287384504,23.1760500921,14.0415962667,2.5429098352,2.4322378983,1.045502102,21.738550399
0-1,71,15,295.3316525698,19.8241062123,14.8976024143,290.8104362826,20.7672159855,14.0033424069,4.5212163094,5.0558185223,0.8942600075,19.8241062123
0-1,72,15,270.0692730377,18.6136595799,14.509198037,261.9712929787,19.0606432974,13.7440950387,8.0979800816,10.5841698441,0.7651029982,18.6136595799
0-1,73,15,254.9335012111,18.242053895,13.9750437466,240.3376969886,18.0432034222,13.3201234484,14.5958042456,22.2863824589,0.6549202982,18.242053895
0-1,74,15,252.580067547,18.912397635,13.3552642252,226.1313294844,17.6745748064,12.7941595179,26.4487380869,47.1369028707,0.5611047073,18.912397635
0-1,75,15,267.1872716755,21.0293730879,12.7054320906,219.0410481288,17.9190494934,12.2239211521,48.1462235713,99.9898854331,0.4815109385,21.0293730879
0-1,76,15,306.6366690707,25.4008265001,12.0719169933,218.6548440239,18.7566226334,11.6574741784,87.9818250714,212.2894206572,0.4144428149,25.4008265001
0-1,77,15,385.9542220537,33.5855070619,11.4916895952,224.6575804486,20.1794099933,11.1330103568,161.2966416297,449.69606357,0.3586792385,33.5855070619
0-1,78,15,533.3512197298,48.5116902496,10.9942823469,236.8614051315,22.1765615488,10.6807092078,296.489814623,945.5204468833,0.3135731391,48.5116902496
0-1,79,15,801.2554514496,75.5581258977,10.6044908066,255.1174902688,24.7082657758,10.3251880396,546.1379612054,1955.3617998715,0.279302767,75.5581258977
0-1,80,15,1286.6153576941,124.3680800247,10.3452216794,279.1256254633,27.6698481491,10.0877180084,1007.4897322555,3912.5257065735,0.257503671,124.3680800247
0-1,81,15,2168.0578417986,211.7099119764,10.2407006907,308.1419857301,30.8522175777,9.9876770593,1859.9158560932,7350.7594775792,0.2530236313,211.7099119764
0-1,82,15,3772.5038428939,365.4705899474,10.3223185303,340.6025752081,33.9155672994,10.0426618904,3431.9012677105,12271.8390255225,0.2796566399,365.4705899474
0-1,83,15,6686.7571345288,627.8567391874,10.6501319763,373.749185387,36.4050431291,10.2664123776,6313.0079491664,16452.1384124361,0.3837195987,627.8567391874
0-1,84,15,11886.2509000975,1038.7120653846,11.4432587203,403.4728372819,37.8367752819,10.6635101505,11482.7780628402,14726.2572931952,0.7797485698,1038.7120653846
0-1,85,15,20199.1752031418,1409.4564178696,14.3311811185,424.7160835854,37.8520089795,11.2204370398,19774.4591195811,6356.8260902877,3.1107440787,1409.4564178696
0-1,86,15,21764.2998355429,584.2618014345,37.2509374772,432.7124387704,36.3774383532,11.8950772335,21331.5873967972,841.2882541481,25.3558602436,584.2618014345
0-1,87,15,3296.0216298118,42.0187131887,78.4417555819,424.8487227388,33.688203211,12.6112016149,2871.1729070977,43.6145943499,65.830553967,42.0187131887
0-1,88,15,576.6997224968,7.6737149951,75.1526115924,402.1510264712,30.3120933894,13.2670159499,174.5486960502,2.820506036,61.8855956426,7.6737149951
0-1,89,15,385.0048167355,5.7450764611,67.0147419865,369.178731765,26.8285243992,13.7606797255,15.8260849951,0.2971808032,53.254062261,5.7450764611
0-1,90,15,334.3907593098,5.611831584,59.586741744,332.180029668,23.6907202953,14.0215251173,2.2107296665,0.0485179229,45.5652166267,5.611831584
0-1,91,15,297.2472908707,5.6091939462,52.9928709402,296.7977740388,21.1570626302,14.0283072006,0.4495168566,0.0115365556,38.9645637396,5.6091939462
0-1,92,15,266.8694230259,5.663230608,47.1231778289,266.7433494685,19.3210505577,13.8058408715,0.1260735821,0.0037840234,33.3173369574,5.663230608
0-1,93,15,243.7923384023,5.8190622671,41.8954682406,243.7457816331,18.1799753733,13.4073768873,0.0465567938,0.0016342546,28.4880913533,5.8190622671
0-1,94,15,228.2135988673,6.1258374496,37.254269436,228.191846134,17.6953921482,12.8955518037,0.021752758,0.0008930174,24.3587176323,6.1258374496
0-1,95,15,219.8403109837,6.6302046513,33.1573944614,219.827879692,17.8293851006,12.3295267028,0.0124313163,0.0005968598,20.8278677586,6.6302046513
0-1,96,15,218.2479669632,7.3812069545,29.5680595745,218.2395323297,18.558969638,11.7592483088,0.0084346581,0.0004736227,17.8088112657,7.3812069545
0-1,97,15,223.0941528721,8.4339276754,26.4519879062,223.0875247046,19.8748454691,11.2246168178,0.0066281922,0.0004352815,15.2273710884,8.4339276754
0-1,98,15,234.1700596731,9.8485053353,23.7772181362,234.1641531007,21.7683319216,10.7571013683,0.005906597,0.0004536516,13.0201167679,9.8485053353
0-1,99,15,251.3305558317,11.6816600113,21.5149692415,251.324695434,24.2073636537,10.3821588765,0.0058604223,0.00052641,11.132810365,11.6816600113
0-1,100,15,274.3218489544,13.9670739364,19.6406097801,274.3154752333,27.1021629796,10.1215344118,0.0063737458,0.0006695761,9.5190753683,13.9670739364
0-2,0,15,400,5.7142857143,70,300,30,10,100,1.6666666667,60,5.7142857143
0-2,1,15,295.8800391253,4.5694888606,64.7512332678,284.722923226,27.2780790535,10.4377922898,11.1571158992,0.2054208995,54.313440978,4.5694888606
0-2,2,15,266.9090616946,4.4637734413,59.7944911865,265.3065137888,24.5658231813,10.7998218432,1.6025479058,0.0327086176,48.9946693433,4.4637734413
0-2,3,15,244.0033805377,4.417290214,55.2382498585,243.7133401121,22.0365391287,11.0595106921,0.2900404257,0.0065651585,44.1787391664,4.417290214
0-2,4,15,221.8899738266,4.3477177038,51.0359662108,221.8252910075,19.8019535049,11.2021922964,0.0646828192,0.0016238185,39.8337739143,4.3477177038
0-2,5,15,201.1582172032,4.2670939463,47.1417362113,201.1408018754,17.917398331,11.2260049232,0.0174153278,0.0004848941,35.9157312881,4.2670939463
0-2,6,15,182.6592345475,4.1968556506,43.5228775434,182.6536750353,16.3963585109,11.1398927338,0.0055595122,0.00017168,32.3829848096,4.1968556506
0-2,7,15,166.8889591518,4.1558353148,40.1577412264,166.8868935032,15.2268587195,10.9600342774,0.0020656487,7.07E-05,29.197706949,4.1558353148
0-2,8,15,154.0102168317,4.1588574701,37.0318574124,154.0093357463,14.3851662723,10.7061213497,0.0008810854,3.35E-05,26.3257360627,4.1588574701
0-2,9,15,143.9694445785,4.2176917486,34.1346530663,143.96902307,13.8453122785,10.3983947905,0.0004215084,1.78E-05,23.7362582758,4.2176917486
0-2,10,15,136.6043464189,4.3425420603,31.4572304703,136.6041186983,13.5846878637,10.0557421759,0.0002277203,1.06E-05,21.4014882943,4.3425420603
0-2,11,15,131.721006984,4.5434977341,28.9911021625,131.7208708887,13.5868542696,9.6947290576,0.0001360951,7.05E-06,19.2963731049,4.5434977341
0-2,12,15,129.140677381,4.8317276278,26.7276401587,129.1405881402,13.8424484934,9.3293168619,8.92E-05,5.13E-06,17.3983232968,4.8317276278
0-2,13,15,128.7235800108,5.220364095,24.6579697641,128.723516559,14.3488480778,8.9710000316,6.35E-05,4.04E-06,15.6869697325,5.220364095
0-2,14,15,130.37772556,5.7250783954,22.773090001,130.3776768176,15.1089985037,8.6291408915,4.87E-05,3.45E-06,14.1439491095,5.7250783954
0-2,15,15,134.0585485481,6.3643143198,21.0640992589,134.0585085539,16.1294857041,8.3113938667,4.00E-05,3.14E-06,12.7527053922,6.3643143198
0-2,16,15,139.7619158594,7.1590342043,19.522453989,139.7618810454,17.4176660866,8.024145161,3.48E-05,3.03E-06,11.4983088279,7.1590342043
0-2,17,15,147.5116457537,8.131749662,18.1402099037,147.5116137179,18.9776531264,7.7729112623,3.20E-05,3.09E-06,10.3672986414,8.131749662
0-2,18,15,157.3414364193,9.3045091342,16.910235043,157.3414055002,20.8049336499,7.5626968174,3.09E-05,3.31E-06,9.3475382256,9.3045091342
0-2,19,15,169.2694895312,10.695398299,15.8263848432,169.2694583301,22.8795067371,7.398300159,3.12E-05,3.70E-06,8.4280846842,10.695398299
0-2,20,15,183.2643361898,12.3131531626,14.8836235341,183.2643034198,25.1579373554,7.2845520215,3.28E-05,4.31E-06,7.5990715125,12.3131531626
0-2,21,15,199.1993137404,14.1496079545,14.0780800698,199.199278074,27.5651978404,7.2264773584,3.57E-05,5.21E-06,6.8516027114,14.1496079545
0-2,22,15,216.7971802032,16.1704677432,13.4069826332,216.7971400973,29.9885716333,7.2293253159,4.01E-05,6.49E-06,6.1776573172,16.1704677432
0-2,23,15,235.5675366789,18.3058669401,12.8684174013,235.5674902484,32.2765313244,7.2984140669,4.64E-05,8.34E-06,5.5700033344,18.3058669401
0-2,24,15,254.7481144319,20.4439574107,12.4608024422,254.748059245,34.246395873,7.4386823124,5.52E-05,1.10E-05,5.0221201298,20.4439574107
0-2,25,15,273.26937891,22.4323025746,12.181958495,273.2693117401,35.7036033594,7.6538300347,6.72E-05,1.48E-05,4.5281284603,22.4323025746
0-2,26,15,289.7712846846,24.0920473654,12.0276737087,289.7712011627,36.4723925631,7.9449463224,8.35E-05,2.05E-05,4.0827273863,24.0920473654
0-2,27,15,302.7064280182,25.2470889716,11.9897556648,302.7063221355,36.4328137101,8.3086177352,0.0001058824,2.88E-05,3.6811379296,25.2470889716
0-2,28,15,310.5566920373,25.7642798822,12.053769539,310.5565554508,35.5542676443,8.7347195155,0.0001365862,4.12E-05,3.3190500235,25.7642798822
0-2,29,15,312.1365526261,25.5906680686,12.1972803441,312.1363736451,33.9105349495,9.2047021408,0.0001789807,5.98E-05,2.9925782034,25.5906680686
0-2,30,15,306.9166423789,24.7724760421,12.389421302,306.9164045032,31.6695906026,9.6912021489,0.0002378753,8.82E-05,2.6982191531,24.7724760421
0-2,31,15,295.2370975146,23.444763559,12.5928801445,295.2367773056,29.0585492231,10.1600659771,0.0003202087,0.0001316207,2.4328141674,23.444763559
0-2,32,15,278.2957249147,21.7954943342,12.7684979587,278.2952888878,26.3163823785,10.5749827193,0.0004360265,0.0001987798,2.1935152393,21.7954943342
0-2,33,15,257.8863530948,20.020056383,12.8813999402,257.8857531666,23.6513333661,10.9036454383,0.0005999278,0.0003033379,1.9777545019,20.020056383
0-2,34,15,235.9884011484,18.2843929248,12.9065483398,235.9875679436,21.2155471946,11.1233316671,0.0008332046,0.0004672481,1.7832166728,18.2843929248
0-2,35,15,214.3754889577,16.7066507858,12.8317453753,214.3743219692,19.0997538033,11.2239311656,0.0011669882,0.0007258228,1.6078142096,16.7066507858
0-2,36,15,194.3738468565,15.3565578354,12.6573838317,194.3721998962,17.3427082931,11.2077189221,0.00164696,0.001136097,1.4496649096,15.3565578354
0-2,37,15,176.8023102953,14.2655027461,12.3936964187,176.7999699675,15.947141231,11.0866247064,0.0023403275,0.0017905119,1.3070717123,14.2655027461
0-2,38,15,162.0443416382,13.4398951872,12.0569646847,162.0409954016,14.8955819426,10.8784602056,0.0033462362,0.002839392,1.1785044792,13.4398951872
0-2,39,15,150.1767308604,12.8730464598,11.6659822001,150.1719195979,14.1626213662,10.6033986022,0.0048112622,0.0045278905,1.0625835979,12.8730464598
0-2,40,15,141.0973236636,12.5537619037,11.2394455738,141.0903713131,13.7229016697,10.2813803311,0.0069523501,0.0072566562,0.9580652427,12.5537619037
0-2,41,15,134.62740822,12.4720216502,10.7943533131,134.6173160835,13.5559105395,9.9305255587,0.0100921361,0.0116830422,0.8638277544,12.4720216502
0-2,42,15,130.5743549116,12.621529456,10.3453670466,130.5596440982,13.6475771967,9.5665070962,0.0147108128,0.0188876226,0.7788599503,12.621529456
0-2,43,15,128.7722520676,13.0012134594,9.9046333229,128.7507304046,13.99102042,9.2023831386,0.0215216622,0.0306467164,0.7022501843,13.0012134594
0-2,44,15,129.0993599553,13.6151725642,9.4820215717,129.0677710911,14.5858322471,8.8488451604,0.0315888634,0.049889514,0.6331764112,13.6151725642
0-2,45,15,131.4817891569,14.4715747795,9.0855204883,131.4352844403,15.436418523,8.514623016,0.0465047155,0.081458962,0.5708974723,14.4715747795
0-2,46,15,135.8927768462,15.5811361979,8.7216217816,135.8241283697,16.5500391238,8.2068765731,0.068648475,0.1333639902,0.5147452085,15.5811361979
0-2,47,15,142.3432011917,16.9541731904,8.3957618926,142.2416180213,17.9334329678,7.9316446704,0.1015831682,0.2188739468,0.4641172222,16.9541731904
0-2,48,15,150.8680542095,18.5965337065,8.1126975914,150.7174054061,19.5883748888,7.6942271251,0.1506488,0.3599986431,0.4184704663,18.5965337065
0-2,49,15,161.5070188829,20.5040387882,7.876839317,161.2831628932,21.5057869376,7.4995238891,0.2238559848,0.5932860634,0.3773154278,20.5040387882
0-2,50,15,174.2773448391,22.6553905502,7.6925332385,173.9441126384,23.6583904578,7.3523223377,0.3332321942,0.9794871165,0.3402109008,22.6553905502
0-2,51,15,189.1379266957,25.0041246064,7.5642690825,188.6410787662,25.9925352365,7.2575097831,0.4968479202,1.6196670194,0.3067592994,25.0041246064
0-2,52,15,205.9433556473,27.470847122,7.4967966853,205.201483342,28.4204934665,7.2201942441,0.7418722901,2.6820887294,0.2766024412,27.470847122
0-2,53,15,224.3896840051,29.938189911,7.4950985571,223.280501309,30.8156690933,7.2456807812,1.1091826727,4.4470874963,0.2494177759,29.938189911
0-2,54,15,243.9585451392,32.2519800165,7.5641416439,242.2982593079,33.0141405487,7.3392266247,1.6602858046,7.3818360868,0.2249150191,32.2519800165
0-2,55,15,263.8741985083,34.2325142362,7.7082914999,261.3863496527,34.8261677313,7.5054582999,2.4878488259,12.2654911784,0.2028332,34.2325142362
0-2,56,15,283.0985536523,35.6984217656,7.9302820587,279.3670778688,36.0597227634,7.7473440299,3.7314757482,20.3974852636,0.1829380289,35.6984217656
0-2,57,15,300.3991674263,36.502100816,8.2296405059,294.7975760543,36.5544247003,8.0646208625,5.6015913289,33.9449971691,0.1650196434,36.502100816
0-2,58,15,314.5268441257,36.5701314842,8.6006484352,306.1113546205,36.2186618287,8.4517577173,8.4154894499,56.5212497268,0.1488907179,36.5701314842
0-2,59,15,324.5204311309,35.9371545657,9.0302205351,311.8686851554,35.0578292453,8.8958355913,12.6517459019,94.1455608826,0.1343849437,35.9371545657
0-2,60,15,330.1129143488,34.7615335541,9.4965003151,311.0804827634,33.1814071002,9.3751443941,19.032431495,156.8315030654,0.121355921,34.7615335541
0-2,61,15,332.1554741657,33.3180270415,9.9692419888,303.5082452885,30.7831261568,9.8595653912,28.647228747,261.1972779706,0.1096765976,33.3180270415
0-2,62,15,332.9493050171,31.9750409671,10.4127874413,289.8083149857,28.0997681003,10.3135482809,43.1409899001,434.7174013554,0.0992391604,31.9750409671
0-2,63,15,336.4252997306,31.1752334017,10.79142842,271.4283364189,25.3636441963,10.7014723247,64.9969631789,722.5409566043,0.0899560953,31.1752334017
0-2,64,15,348.2407500015,31.4420765406,11.0756282128,250.2762119237,22.7650773194,10.9938661052,97.9645379459,1198.1655174006,0.0817621076,31.4420765406
0-2,65,15,376.0026876431,33.4317337222,11.2468797092,228.2971519363,20.4342828322,11.1722615279,147.7055355745,1979.4845311403,0.0746181813,33.4317337222
0-2,66,15,429.8946269276,38.0451422191,11.299593111,207.1250986264,18.4421447937,11.2310743107,222.769528169,3251.2175788514,0.0685188003,38.0451422191
0-2,67,15,523.9730241545,46.6173968448,11.2398602157,187.9067102772,16.8128792995,11.1763551578,336.0663137451,5291.961381203,0.0635050579,46.6173968448
0-2,68,15,678.3820972919,61.2135728032,11.0822170023,171.2956213446,15.5405024362,11.0225278782,507.0864758151,8495.4584855101,0.0596891241,61.2135728032
0-2,69,15,922.7979417641,85.0827193618,10.8458914887,157.5523177752,14.6036072076,10.788589116,765.2456238567,13354.5189827401,0.0573023727,85.0827193618
0-2,70,15,1301.5913051033,123.3541558494,10.5516615645,146.6776764801,13.9761377891,10.4948647969,1154.913628491,20334.1435950333,0.0567967676,123.3541558494
0-2,71,15,1881.4729752258,184.0996616119,10.2198611271,138.5330195653,13.6340866811,10.1607847159,1742.9399555283,29503.1454944787,0.0590764112,184.0996616119
0-2,72,15,2762.7595567146,279.922036766,9.8697465503,132.928093112,13.5590243578,9.8036620928,2629.8314634704,39795.0072534436,0.0660844574,279.922036766
0-2,73,15,4095.676125677,430.1850978529,9.5207299047,129.6763107658,13.7394616687,9.4382381124,3965.9998147791,48077.5081668775,0.0824917922,430.1850978529
0-2,74,15,6102.5950491493,663.4582491787,9.1981598792,128.6247552458,14.1708505848,9.076713813,5973.9702937714,49190.3153444344,0.1214460662,663.4582491787
0-2,75,15,9101.0369387489,1015.970102941,8.957977122,129.6668957646,14.8546457273,8.7290466663,8971.3700428522,39188.1893367188,0.2289304557,1015.970102941
0-2,76,15,13474.5660527577,1492.9873600601,9.0252378642,132.7445205116,15.7966021465,8.4033591073,13341.8215321139,21454.0557687022,0.6218787569,1492.9873600601
0-2,77,15,19088.8321404177,1749.0111317936,10.9140712677,137.8424470441,17.0042059359,8.1063736562,18950.9896932414,6749.6548117436,2.8076976115,1749.0111317936
0-2,78,15,19551.8076141961,717.1568948353,27.2629430952,144.9777635584,18.4830395494,7.8438269404,19406.8298505055,999.3673087831,19.4191161547,717.1568948353
0-2,79,15,4795.007071757,72.4557624141,66.1784088939,154.183543994,20.2318244473,7.6208423217,4640.8235276307,79.2523289354,58.5575665721,72.4557624141
0-2,80,15,566.4382445881,8.0468944414,70.3921554723,165.4858540816,22.2359932207,7.4422515081,400.9523903743,6.3693884363,62.9499039641,8.0468944414
0-2,81,15,217.4137567207,3.3479478182,64.9394102069,178.8722239552,24.4599667399,7.3128563852,38.5415326333,0.6688155039,57.6265538217,3.3479478182
0-2,82,15,199.0362380355,3.3576555421,59.2783373818,194.2498162694,26.8389283444,7.2376144746,4.7864216338,0.0919745416,52.0407229072,3.3576555421
0-2,83,15,212.1516699485,3.9175890274,54.1536308337,211.3927033049,29.2718145365,7.2217150406,0.7589665114,0.0161716499,46.9319157931,3.9175890274
0-2,84,15,230.0308998971,4.6388792456,49.5876024617,229.8806840924,31.6183303371,7.2704877722,0.1502156724,0.0035497617,42.3171146895,4.6388792456
0-2,85,15,249.0740423479,5.4688624259,45.5440314548,249.037725793,33.7035990355,7.3890543716,0.0363164227,0.0009518135,38.1549770831,5.4688624259
0-2,86,15,267.8972535702,6.3809955316,41.9836140371,267.8867378659,35.3337769082,7.5816049488,0.010515572,0.0003056674,34.4020090883,6.3809955316
0-2,87,15,285.151201378,7.3363389665,38.868324198,285.1476179405,36.3237009182,7.8501807561,0.0035833053,0.0001155229,31.0181434419,7.3363389665
0-2,88,15,299.3138120889,8.2774766782,36.1600308552,299.3123984563,36.5330592048,8.1929190977,0.0014135004,5.05E-05,27.9671117575,8.2774766782
0-2,89,15,308.8261391313,9.1319755712,33.8181083297,308.8255023729,35.9019118468,8.6019235881,0.0006366262,2.52E-05,25.2161847416,9.1319755712
0-2,90,15,312.3673533001,9.8237593738,31.7971299393,312.367030793,34.4727112045,9.0612841253,0.0003223749,1.42E-05,22.7358458141,9.8237593738
0-2,91,15,309.1823726696,10.290418241,30.0456565933,309.1821915888,32.3880652517,9.5461766298,0.0001809486,8.83E-06,20.4994799636,10.290418241
0-2,92,15,299.3415812284,10.500564236,28.5071901376,299.3414692831,29.862177376,10.0241005709,0.0001118131,6.05E-06,18.4830895667,10.500564236
0-2,93,15,283.803857343,10.4632694815,27.123821846,283.8037798435,27.1354456577,10.4587845515,7.74E-05,4.64E-06,16.6650372945,10.4632694815
0-2,94,15,264.2240562587,10.2246394597,25.8418946995,264.2239982193,24.4288118114,10.8160806288,5.79E-05,3.85E-06,15.0258140706,10.2246394597
0-2,95,15,242.5705326127,9.8534679147,24.6177827656,242.5704873692,21.9125128401,11.0699530054,4.51E-05,3.33E-06,13.5478297603,9.8534679147
0-2,96,15,220.7113284869,9.4233968665,23.4216314577,220.7112900832,19.6950984737,11.2064070346,3.83E-05,3.13E-06,12.2152244231,9.4233968665
0-2,97,15,200.120095062,8.9990511985,22.2379104915,200.1200608116,17.8293188692,11.224212337,3.41E-05,3.10E-06,11.0136981545,8.9990511985
0-2,98,15,181.7643128414,8.6294967046,21.0631418105,181.7642807238,16.3269383218,11.1327841841,3.20E-05,3.22E-06,9.9303576264,8.6294967046
0-2,99,15,166.1454063831,8.3481126214,19.9021520094,166.1453746024,15.1750694636,10.9485742389,3.16E-05,3.53E-06,8.9535777705,8.3481126214
0-2,100,15,153.4173345228,8.1760459778,18.7642455705,153.4173020099,14.3496410333,10.691368631,3.24E-05,4.01E-06,8.0728769395,8.1760459778
