key,time,all_swamps___alg_sample,all_swamps___total_rabbits,all_swamps___total_rabbits_per_wolves,all_swamps___total_wolves,blue_swamp___rabbits,blue_swamp___rabbits_per_wolves,blue_swamp___wolves,green_swamp___rabbits,green_swamp___rabbits_per_wolves,green_swamp___wolves,ratio
0-0,14,15,194.5892636553,12.4303938974,15.6543119439,193.5213292907,16.1955651944,11.9490321559,1.0679343647,0.2882196287,3.705279788,12.4303938974
0-0,15,15,230.7095086223,16.5875213011,13.9086186799,228.7418351718,21.0390846359,10.8722332331,1.9676734504,0.6480315114,3.0363854468,16.5875213011
0-0,16,15,288.2215142324,22.8625705657,12.6066976329,284.4724041711,28.11510563,10.1181339282,3.7491100612,1.5065356994,2.4885637046,22.8625705657
0-0,17,15,372.4777519355,31.6157144611,11.7814118164,365.1354840896,37.4832153823,9.7413063518,7.3422678457,3.5989648443,2.0401054646,31.6157144611
0-0,18,15,487.3615426094,42.3641969259,11.5040901982,472.6556662998,48.0793127808,9.8307492134,14.7058763092,8.7883321109,1.6733409848,42.3641969259
0-0,19,15,629.1618254296,52.8713019801,11.8998738799,599.1614655947,56.9227352049,10.5258727192,30.0003598338,21.8343045782,1.3740011607,52.8713019801
0-0,20,15,777.9976797297,59.2597721311,13.1285972212,715.8737775848,59.6669484513,11.997827879,62.1239021425,54.9394998829,1.1307693422,59.2597721311
0-0,21,15,900.2854801372,59.0629917249,15.2428018603,770.0745098247,53.8222176634,14.3077439626,130.2109703097,139.2544468427,0.9350578977,59.0629917249
0-0,22,15,992.9695396253,55.5836303717,17.8644239857,717.4019369682,41.9943657467,17.0832902036,275.5676026544,352.7790104363,0.7811337821,55.5836303717
0-0,23,15,1165.3303445356,58.093829333,20.0594513723,577.800766009,29.795038385,19.3925162486,587.5295785238,880.93962618,0.6669351237,58.093829333
0-0,24,15,1682.80115599,80.1728219345,20.9896710055,423.6899795319,20.7763485478,20.3928990967,1259.1111764553,2109.8700487072,0.5967719089,80.1728219345
0-0,25,15,3010.3021741901,146.1003684124,20.6043434859,305.8260377674,15.2808996386,20.0136147085,2704.47613642,4578.2027891979,0.5907287774,146.1003684124
0-0,26,15,6023.7752895721,309.6674884568,19.4523981823,231.7549872795,12.3759677453,18.7262113194,5792.0203022899,7975.9364951131,0.7261868629,309.6674884568
0-0,27,15,12366.0006567358,670.4869094549,18.4433140787,191.0836533945,11.217349598,17.034652591,12174.9170033385,8642.8976085247,1.4086614877,670.4869094549
0-0,28,15,22982.8104959965,1054.4170464022,21.7966985401,173.5198266813,11.3581446798,15.2771276977,22809.2906693122,3498.5877476436,6.5195708425,1054.4170464022
0-0,29,15,14380.7312624218,227.3747754874,63.2468189648,173.1768670135,12.6945302621,13.6418491616,14207.5543954054,286.4139309381,49.6049698032,227.3747754874
0-0,30,15,1053.7073571363,13.0943804292,80.4701958092,188.1094306341,15.385663237,12.2262802544,865.5979264991,12.6838842622,68.2439155548,13.0943804292
0-0,31,15,277.881333346,4.0492582181,68.6252440274,219.3511371756,19.7903022206,11.0837689455,58.5301961674,1.0171827553,57.5414750818,4.0492582181
0-0,32,15,277.3847850597,4.8230666442,57.5121194713,270.1679339511,26.3462326832,10.2545186327,7.2168511056,0.1527130235,47.2576008386,4.8230666442
0-0,33,15,346.4888975922,7.140780746,48.5225509531,344.9927041525,35.2456381968,9.7882382559,1.4961934367,0.0386270811,38.7343126971,7.140780746
0-0,34,15,447.2339204673,10.7755499824,41.5045098578,446.75810458,45.7527594098,9.7646155192,0.4758158844,0.0149910986,31.7398943386,10.7755499824
0-0,35,15,570.853411074,15.7179792835,36.3184987572,570.6385003009,55.3404173354,10.3114238702,0.2149107701,0.0082635502,26.007074887,15.7179792835
0-0,36,15,693.5050642864,21.0739739409,32.9081295361,693.3756617465,59.7802086459,11.5987494432,0.129402537,0.0060725622,21.3093800929,21.0739739409
0-0,37,15,766.5122148449,24.5718115122,31.1947783933,766.4136010437,55.8015247144,13.7346354775,0.0986137982,0.0056479376,17.4601429157,24.5718115122
0-0,38,15,738.5712652349,23.9964369426,30.7783720976,738.4801123649,44.8319548943,16.47218182,0.091152867,0.0063715682,14.3061902776,23.9964369426
0-0,39,15,612.6511112566,19.957626792,30.6975933383,612.5524158937,32.2809987448,18.9756339553,0.0986953599,0.0084196982,11.7219593829,19.957626792
0-0,40,15,455.7206065428,15.2387889415,29.9053033868,455.5989580405,22.442466875,20.3007521668,0.1216484993,0.0126657141,9.60455122,15.2387889415
0-0,41,15,328.0442054526,11.688777389,28.0648860471,327.8774680602,16.2353862472,20.1952366927,0.1667373894,0.0211873975,7.8696493544,11.688777389
0-0,42,15,245.0572467191,9.6067257887,25.5089249043,244.8079329887,12.8435582198,19.0607562794,0.2493137274,0.0386642692,6.4481686249,9.6067257887
0-0,43,15,198.1785035636,8.7278174039,22.7065363988,197.7781746555,11.3515378216,17.4230291758,0.4003289051,0.0757695387,5.283507223,8.7278174039
0-0,44,15,176.4575441796,8.8278089442,19.9888268193,175.7760642005,11.2248616299,15.6595306024,0.6814799761,0.1574112609,4.329296217,8.8278089442
0-0,45,15,173.1358610257,9.8742486363,17.534079544,171.918916902,12.2917558026,13.9865223214,1.2169441207,0.3430372068,3.5475572226,9.8742486363
0-0,46,15,185.7410445976,12.0423044014,15.4240449673,183.4810241234,14.6587248061,12.5168475806,2.2600204712,0.7773880375,2.9071973867,12.0423044014
0-0,47,15,215.2409212038,15.7187381252,13.6932697453,210.9068311575,18.6470179453,11.3104857718,4.3340900433,1.8189185808,2.3827839735,15.7187381252
0-0,48,15,265.568322639,21.4826810263,12.3619729918,257.0353560616,24.6949477097,10.4084187213,8.5329665744,4.3679188764,1.9535542705,21.4826810263
0-0,49,15,343.3532246394,29.9633403726,11.4591103785,326.1882902542,33.0937882827,9.8564808437,17.1649343823,10.7104817484,1.6026295348,29.9633403726
0-0,50,15,457.1496457061,41.3994493562,11.042408844,422.0087236167,43.3897876288,9.7259919137,35.1409220864,26.6943711218,1.3164169302,41.3994493562
0-0,51,15,615.1521337016,54.8396210874,11.2172936556,542.1740645231,53.5053168224,10.1330876392,72.9780691756,67.3101496088,1.0842060165,54.8396210874
0-0,52,15,821.8159089673,67.6933731636,12.1402712047,668.5012323318,59.4632233071,11.2422636237,153.3146766326,170.7275972642,0.898007581,67.6933731636
0-0,53,15,1082.6559308848,77.630079307,13.946345805,757.6068038451,57.4224627513,13.1935616751,325.0491270368,431.7959347549,0.7527841299,77.630079307
0-0,54,15,1448.4241852016,87.7939757781,16.4979905781,754.47736786,47.5996994194,15.8504649622,693.9468173387,1071.6901391195,0.6475256159,87.7939757781
0-0,55,15,2134.1789435148,111.8140550007,19.0868575825,645.8510027986,34.9144411173,18.498105143,1488.3279407133,2527.9350726475,0.5887524394,111.8140550007
0-0,56,15,3685.7986042438,177.7197328509,20.7393886155,489.1429459809,24.2917437808,20.136180852,3196.65565826,5299.4272480815,0.6032077635,177.7197328509
0-0,57,15,7184.702985441,340.111669225,21.1245412479,352.1918738647,17.3267194712,20.3265179223,6832.5111115734,8561.7937370189,0.7980233257,340.111669225
0-0,58,15,14478.0036004139,683.8645823458,21.1708633173,259.6230160884,13.4023698385,19.3714260401,14218.3805843225,7901.5705432531,1.7994372772,683.8645823458
0-0,59,15,24757.3351841689,874.6431771369,28.3056403243,205.6803488041,11.5512456284,17.8059021009,24551.6548353618,2338.3111381466,10.4997382234,874.6431771369
0-0,60,15,8808.4494769943,114.5756865196,76.8788714653,178.9062304719,11.1490521875,16.0467659011,8629.5432465194,141.8583684795,60.8321055642,114.5756865196
0-0,61,15,627.7916886419,7.7898981308,80.5904875909,171.405612995,11.9518314846,14.3413679498,456.386075644,6.888937968,66.2491196411,7.7898981308
0-0,62,15,214.8617433371,3.1615591781,67.9606900381,179.6212828899,14.0105742045,12.8204083764,35.2404604443,0.6391055574,55.1402816617,3.1615591781
0-0,63,15,208.2822233883,3.6670538907,56.7982444755,203.3722226844,17.6047509459,11.5521215443,4.9100007009,0.1085176007,45.2461229312,3.6670538907
0-0,64,15,246.1562043337,5.1647048115,47.6612339561,245.0300320261,23.1610384598,10.5794061199,1.1261723047,0.0303699243,37.0818278361,5.1647048115
0-0,65,15,309.0961088522,7.6640885184,40.3304460942,308.7070106319,31.0407479123,9.9452181856,0.3890982173,0.012805506,30.3852279086,7.6640885184
0-0,66,15,398.6949678202,11.5194954005,34.6104541873,398.5068703981,41.0261166626,9.7134923511,0.1880974191,0.007555035,24.8969618362,11.5194954005
0-0,67,15,514.234181223,16.9217957665,30.3888658343,514.1144375293,51.4674837956,9.9891115635,0.1197436907,0.0058698595,20.3997542707,16.9217957665
0-0,68,15,641.9715631991,23.2238700752,27.6427469289,641.8760435896,58.7372097162,10.9279287642,0.0955196065,0.0057146662,16.7148181646,23.2238700752
0-0,69,15,744.2095744018,28.205754433,26.3850263665,744.1179207986,58.6403104052,12.6895290229,0.0916536002,0.0066922433,13.6954973436,28.205754433
0-0,70,15,765.072943187,28.9237390255,26.4513845362,764.9706194135,50.2285338031,15.2298018973,0.1023237705,0.0091184794,11.2215826389,28.9237390255
0-0,71,15,676.9047798507,24.9201369875,27.1629638389,676.7754545138,37.6647626781,17.9683982161,0.129325334,0.0140654099,9.1945656228,24.9201369875
