key,time,all_swamps___total_rabbits
0-1,193,266.8694230259
0-1,194,243.7923384023
0-1,195,228.2135988673
0-1,196,219.8403109837
0-1,197,218.2479669632
0-1,198,223.0941528721
0-1,199,234.1700596731
0-1,200,251.3305558317
0-1,201,274.3218489544
0-2,202,400
0-2,203,295.8800391253
0-2,204,266.9090616946
0-2,205,244.0033805377
0-2,206,221.8899738266
0-2,207,201.1582172032
0-2,208,182.6592345475
0-2,209,166.8889591518
0-2,210,154.0102168317
0-2,211,143.9694445785
0-2,212,136.6043464189
0-2,213,131.721006984
0-2,214,129.140677381
0-2,215,128.7235800108
0-2,216,130.37772556
0-2,217,134.0585485481
0-2,218,139.7619158594
0-2,219,147.5116457537
0-2,220,157.3414364193
0-2,221,169.2694895312
0-2,222,183.2643361898
0-2,223,199.1993137404
0-2,224,216.7971802032
0-2,225,235.5675366789
0-2,226,254.7481144319
0-2,227,273.26937891
0-2,228,289.7712846846
0-2,229,302.7064280182
0-2,230,310.5566920373
0-2,231,312.1365526261
0-2,232,306.9166423789
0-2,233,295.2370975146
0-2,234,278.2957249147
0-2,235,257.8863530948
0-2,236,235.9884011484
0-2,237,214.3754889577
0-2,238,194.3738468565
0-2,239,176.8023102953
0-2,240,162.0443416382
0-2,241,150.1767308604
0-2,242,141.0973236636
0-2,243,134.62740822
0-2,244,130.5743549116
0-2,245,128.7722520676
0-2,246,129.0993599553
0-2,247,131.4817891569
0-2,248,135.8927768462
0-2,249,142.3432011917
0-2,250,150.8680542095
0-2,251,161.5070188829
0-2,252,174.2773448391
0-2,253,189.1379266957
0-2,254,205.9433556473
0-2,255,224.3896840051
0-2,256,243.9585451392
0-2,257,263.8741985083
0-2,258,283.0985536523
0-2,259,300.3991674263
0-2,260,314.5268441257
0-2,261,324.5204311309
0-2,262,330.1129143488
0-2,263,332.1554741657
0-2,264,332.9493050171
0-2,265,336.4252997306
0-2,266,348.2407500015
0-2,267,376.0026876431
0-2,268,429.8946269276
0-2,269,523.9730241545
0-2,270,678.3820972919
0-2,271,922.7979417641
0-2,272,1301.5913051033
0-2,273,1881.4729752258
0-2,274,2762.7595567146
0-2,275,4095.676125677
0-2,276,6102.5950491493
0-2,277,9101.0369387489
0-2,278,13474.5660527577
0-2,279,19088.8321404177
0-2,280,19551.8076141961
0-2,281,4795.007071757
0-2,282,566.4382445881
0-2,283,217.4137567207
0-2,284,199.0362380355
0-2,285,212.1516699485
0-2,286,230.0308998971
0-2,287,249.0740423479
0-2,288,267.8972535702
0-2,289,285.151201378
0-2,290,299.3138120889
0-2,291,308.8261391313
0-2,292,312.3673533001
0-2,293,309.1823726696
0-2,294,299.3415812284
0-2,295,283.803857343
0-2,296,264.2240562587
0-2,297,242.5705326127
0-2,298,220.7113284869
0-2,299,200.120095062
0-2,300,181.7643128414
0-2,301,166.1454063831
0-2,302,153.4173345228
0-0,303,337.522063073
0-0,304,335.402728173
0-0,305,423.244498914
0-0,306,529.833687253
0-0,307,620.668518837
0-0,308,648.349926591
0-0,309,583.85745881
0-0,310,457.824315053
0-0,311,332.32303564
0-0,312,241.399735117
0-0,313,186.037817387
0-0,314,156.711841636
0-0,315,145.508681359
0-0,316,148.314728497
0-0,317,164.195424302
0-0,318,194.673873302
0-0,319,243.202800265
